provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
Azure,Standard_E16-8s_v5,E16-8s,Standard_E16-8s_v5,16,128.0,eastus,,0.202,,,0.0
Azure,Standard_D8ps_v6,D8ps,Standard_D8ps_v6,8,32.0,eastus,,0.281,,,0.0
Azure,Standard_B2als_v2,B2als,Standard_B2als_v2,2,4.0,eastus,,0.00752,,,0.0
Azure,Standard_E2ads_v5,E2ads,Standard_E2ads_v5,2,16.0,eastus,,0.131,,,0.0
Azure,Standard_E48s_v4,E48s,Standard_E48s_v4,48,384.0,eastus,,0.605,,,0.0
Azure,Standard_NC6s_v2,NC6s,Standard_NC6s_v2,6,112.0,eastus,,,0.2898,P100,1.0
Azure,Standard_M832ds_12_v3,M832ds,Standard_M832ds_12_v3,832,11400.0,eastus,,141.94026,,,0.0
Azure,Standard_B2pls_v2,B2pls,Standard_B2pls_v2,2,4.0,eastus,,0.0336,,,0.0
Azure,Standard_D96lds_v5,D96lds,Standard_D96lds_v5,96,192.0,eastus,,0.922,,,0.0
Azure,Standard_HB176rs_v4,HB176rs,Standard_HB176rs_v4,176,768.0,eastus,,,1.008,,0.0
Azure,Standard_E48s_v3,E48s,Standard_E48s_v3,48,384.0,eastus,,0.605,,,0.0
Azure,Standard_E64bs_v5,E64bs,Standard_E64bs_v5,64,512.0,eastus,,4.768,,,0.0
Azure,Standard_HB120-96rs_v3,HB120-96rs,Standard_HB120-96rs_v3,120,456.0,eastus,,0.72,,,0.0
Azure,Standard_E16_v5,E16,Standard_E16_v5,16,128.0,eastus,,1.008,,,0.0
Azure,Standard_E64ads_v6,E64ads,Standard_E64ads_v6,64,512.0,eastus,,4.646,,,0.0
Azure,Standard_M32dms_v2,M32dms,Standard_M32dms_v2,32,875.0,eastus,,6.146,,,0.0
Azure,Standard_M64-32ms,M64-32ms,Standard_M64-32ms,64,1792.0,eastus,,,1.44718,,0.0
Azure,Standard_DC4as_cc_v5,DC4as,Standard_DC4as_cc_v5,4,16.0,eastus,,0.0344,,,0.0
Azure,Standard_HB176-24rs_v4,HB176-24rs,Standard_HB176-24rs_v4,176,768.0,eastus,,7.2,,,0.0
Azure,Standard_E48as_v6,E48as,Standard_E48as_v6,48,384.0,eastus,,0.572,,,0.0
Azure,Standard_D32_v4,D32,Standard_D32_v4,32,128.0,eastus,,0.307,,,0.0
Azure,Standard_D32ds_v4,D32ds,Standard_D32ds_v4,32,128.0,eastus,,,0.306275,,0.0
Azure,Standard_DS3_v2,DS3,Standard_DS3_v2,4,14.0,eastus,,,0.04102,,0.0
Azure,Standard_M64ds_v2,M64ds,Standard_M64ds_v2,64,1024.0,eastus,,6.669,,,0.0
