provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
AWS,c6in.16xlarge,c6in,c6in.16xlarge,64,128.0,us-east-1,,3.6288,1.52144,,
AWS,is4gen.medium,is4gen,is4gen.medium,1,6.0,us-east-1,,0.14408,0.02155,,
AWS,r7iz.2xlarge,r7iz,r7iz.2xlarge,8,64.0,us-east-1,,0.744,0.28853999999999996,,
AWS,r5.16xlarge,r5,r5.16xlarge,64,512.0,us-east-1,,4.032,1.2589400000000002,,
AWS,r6g.2xlarge,r6g,r6g.2xlarge,8,64.0,us-east-1,,0.4032,0.13072,,
AWS,t3.nano,t3,t3.nano,2,0.5,us-east-1,,0.0052,0.00114,,
AWS,r6in.large,r6in,r6in.large,2,16.0,us-east-1,,0.17433,0.027979999999999998,,
AWS,i4i.large,i4i,i4i.large,2,16.0,us-east-1,,0.172,0.04158,,
AWS,m6i.12xlarge,m6i,m6i.12xlarge,48,192.0,us-east-1,,2.304,0.66818,,
AWS,x8g.16xlarge,x8g,x8g.16xlarge,64,1024.0,us-east-1,,6.2528,1.2635333333333334,,
AWS,z1d.6xlarge,z1d,z1d.6xlarge,24,192.0,us-east-1,,2.232,1.11456,,
AWS,c6id.8xlarge,c6id,c6id.8xlarge,32,64.0,us-east-1,,1.6128,0.55818,,
AWS,r5a.12xlarge,r5a,r5a.12xlarge,48,384.0,us-east-1,,2.712,1.03564,,
AWS,c7i-flex.16xlarge,c7i-flex,c7i-flex.16xlarge,64,128.0,us-east-1,,2.7132,0.867775,,
AWS,m7gd.16xlarge,m7gd,m7gd.16xlarge,64,256.0,us-east-1,,3.4171,0.8295999999999999,,
AWS,gr6.4xlarge,gr6,gr6.4xlarge,16,128.0,us-east-1,,1.5392,0.704075,L4,1.0
AWS,m1.large,m1,m1.large,2,7.5,us-east-1,,0.175,0.044975,,
AWS,m7gd.2xlarge,m7gd,m7gd.2xlarge,8,32.0,us-east-1,,0.4271,0.18706,,
AWS,m6idn.xlarge,m6idn,m6idn.xlarge,4,16.0,us-east-1,,0.31824,0.1578,,
AWS,i3.2xlarge,i3,i3.2xlarge,8,61.0,us-east-1,,0.624,0.2944333333333333,,
AWS,m7g.4xlarge,m7g,m7g.4xlarge,16,64.0,us-east-1,,0.6528,0.26378,,
AWS,c5ad.xlarge,c5ad,c5ad.xlarge,4,8.0,us-east-1,,0.172,0.0742,,
AWS,m7g.8xlarge,m7g,m7g.8xlarge,32,128.0,us-east-1,,1.3056,0.4327,,
AWS,c6a.12xlarge,c6a,c6a.12xlarge,48,96.0,us-east-1,,1.836,0.56226,,
AWS,r7g.large,r7g,r7g.large,2,16.0,us-east-1,,0.1071,0.04326,,
AWS,c6a.4xlarge,c6a,c6a.4xlarge,16,32.0,us-east-1,,0.612,0.24684,,
AWS,i4i.2xlarge,i4i,i4i.2xlarge,8,64.0,us-east-1,,0.686,0.2774,,
AWS,g6.4xlarge,g6,g6.4xlarge,16,64.0,us-east-1,,1.3232,0.5625249999999999,L4,1.0
AWS,r5dn.8xlarge,r5dn,r5dn.8xlarge,32,256.0,us-east-1,,2.672,0.9357,,
AWS,m7i.16xlarge,m7i,m7i.16xlarge,64,256.0,us-east-1,,3.2256,1.045,,
AWS,r6a.24xlarge,r6a,r6a.24xlarge,96,768.0,us-east-1,,5.4432,1.4162599999999999,,
AWS,u-3tb1.56xlarge,u-3tb1,u-3tb1.56xlarge,224,3072.0,us-east-1,,27.3,,,
AWS,m5.metal,m5,m5.metal,96,384.0,us-east-1,,4.608,1.15014,,
AWS,r7gd.16xlarge,r7gd,r7gd.16xlarge,64,512.0,us-east-1,,4.3546,1.4296,,
AWS,a1.2xlarge,a1,a1.2xlarge,8,16.0,us-east-1,,0.204,0.204,,
AWS,m7i-flex.8xlarge,m7i-flex,m7i-flex.8xlarge,32,128.0,us-east-1,,1.53216,0.58026,,
AWS,m6g.metal,m6g,m6g.metal,64,256.0,us-east-1,,2.464,0.6003000000000001,,
AWS,i4i.metal,i4i,i4i.metal,128,1024.0,us-east-1,,10.982,2.30624,,
AWS,inf2.xlarge,inf2,inf2.xlarge,4,16.0,us-east-1,,0.7582,0.1661,,
AWS,g6e.48xlarge,g6e,g6e.48xlarge,192,1536.0,us-east-1,,30.13118,6.9407250000000005,L40S,8.0
AWS,c6gn.xlarge,c6gn,c6gn.xlarge,4,8.0,us-east-1,,0.1728,0.061040000000000004,,
AWS,c6a.8xlarge,c6a,c6a.8xlarge,32,64.0,us-east-1,,1.224,0.41718,,
AWS,c7i.4xlarge,c7i,c7i.4xlarge,16,32.0,us-east-1,,0.714,0.27784,,
AWS,g4dn.8xlarge,g4dn,g4dn.8xlarge,32,128.0,us-east-1,,2.176,0.75182,T4,1.0
AWS,m5d.8xlarge,m5d,m5d.8xlarge,32,128.0,us-east-1,,1.808,0.85662,,
AWS,r4.4xlarge,r4,r4.4xlarge,16,122.0,us-east-1,,1.064,0.4272833333333333,,
