provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
GCP,c4a-highcpu-1,c4a,c4a-highcpu-1,1.0,2.0,us-central1,us-central1-c,0.03788,0.01514,,
GCP,c4a-highcpu-16,c4a,c4a-highcpu-16,16.0,32.0,us-central1,us-central1-c,0.60608,0.24224,,
GCP,c4a-highcpu-2,c4a,c4a-highcpu-2,2.0,4.0,us-central1,us-central1-c,0.07576,0.03028,,
GCP,c4a-highcpu-32,c4a,c4a-highcpu-32,32.0,64.0,us-central1,us-central1-c,1.21216,0.48448,,
GCP,c4a-highcpu-4,c4a,c4a-highcpu-4,4.0,8.0,us-central1,us-central1-c,0.15152,0.06056,,
GCP,c4a-highcpu-48,c4a,c4a-highcpu-48,48.0,96.0,us-central1,us-central1-c,1.8182399999999999,0.7267199999999999,,
GCP,c4a-highcpu-64,c4a,c4a-highcpu-64,64.0,128.0,us-central1,us-central1-c,2.42432,0.96896,,
GCP,c4a-highcpu-72,c4a,c4a-highcpu-72,72.0,144.0,us-central1,us-central1-c,2.72736,1.09008,,
GCP,c4a-highcpu-8,c4a,c4a-highcpu-8,8.0,16.0,us-central1,us-central1-c,0.30304,0.12112,,
GCP,c4a-highmem-1,c4a,c4a-highmem-1,1.0,8.0,us-central1,us-central1-c,0.05894,0.02354,,
GCP,c4a-highmem-16,c4a,c4a-highmem-16,16.0,128.0,us-central1,us-central1-c,0.94304,0.37664,,
GCP,c4a-highmem-16-lssd,c4a,c4a-highmem-16-lssd,16.0,128.0,us-central1,us-central1-c,0.94304,0.37664,,
GCP,c4a-highmem-2,c4a,c4a-highmem-2,2.0,16.0,us-central1,us-central1-c,0.11788,0.04708,,
GCP,c4a-highmem-32,c4a,c4a-highmem-32,32.0,256.0,us-central1,us-central1-c,1.88608,0.75328,,
GCP,c4a-highmem-32-lssd,c4a,c4a-highmem-32-lssd,32.0,256.0,us-central1,us-central1-c,1.88608,0.75328,,
GCP,c4a-highmem-4,c4a,c4a-highmem-4,4.0,32.0,us-central1,us-central1-c,0.23576,0.09416,,
GCP,c4a-highmem-4-lssd,c4a,c4a-highmem-4-lssd,4.0,32.0,us-central1,us-central1-c,0.23576,0.09416,,
GCP,c4a-highmem-48,c4a,c4a-highmem-48,48.0,384.0,us-central1,us-central1-c,2.82912,1.1299199999999998,,
GCP,c4a-highmem-48-lssd,c4a,c4a-highmem-48-lssd,48.0,384.0,us-central1,us-central1-c,2.82912,1.1299199999999998,,
